rank,dimension,variance,variance_share,cumulative_share
1,0,0.8968847104820891,0.18309539919258477,0.18309539919258477
2,1,0.5724050061632725,0.11685417521162135,0.2999495744042061
3,2,0.37290765568310863,0.07612759508696434,0.3760771694911704
4,3,0.3166507526180562,0.06464297504198921,0.44072014453315966
5,5,0.22318216162987256,0.04556173887089755,0.4862818834040572
6,4,0.16188390039054878,0.03304794587135743,0.5193298292754146
7,7,0.12734981562116063,0.025997951638316082,0.5453277809137307
8,6,0.11253977339595281,0.022974541202624845,0.5683023221163556
9,9,0.10508790649112004,0.021453272605084613,0.5897555947214401
10,8,0.1001576260186168,0.020446775715691586,0.6102023704371317
