rank,dimension_a,dimension_b,correlation,abs_correlation
1,494,507,-0.8313275805541885,0.8313275805541885
2,447,494,-0.8302873588913232,0.8302873588913232
3,97,749,0.8269467172708009,0.8269467172708009
4,130,494,0.8262975839063008,0.8262975839063008
5,77,551,-0.8189945209370334,0.8189945209370334
6,494,551,-0.8077522026185548,0.8077522026185548
7,217,219,0.8003093921471968,0.8003093921471968
8,77,684,0.7957921624065162,0.7957921624065162
9,496,551,-0.7955216120359938,0.7955216120359938
10,551,588,-0.7929918630815374,0.7929918630815374
